German,English
ich,I
sie,she
das,the
ist,is
du,you
nicht,Not
die,the
es,it
und,and
der,the
wir,we
was,What
zu,to
er,he
ein,a
in,in
ja,Yes
mir,me
mit,With
wie,as
den,the
mich,me
auf,on
dass,that
aber,but
eine,a
so,so
hat,Has
hier,here
haben,to have
für,For
sind,are
war,was
von,of
wenn,if
dich,you
ihr,her
nein,No
habe,have
an,at
bin,am
noch,still
nur,just
da,there
dir,to you
sich,themselves
einen,one
uns,us
hast,have
dem,the
kann,can
gut,Well
auch,also
schon,beautiful
als,when
sein,be
mal,times
jetzt,now
ihn,him
dann,then
aus,out
meine,my
um,around
im,in the
wird,becomes
mein,my
bist,are
doch,but
alles,everything
weiß,White
keine,none
oder,or
nach,after
s,s
nichts,Nothing
man,you
muss,got to
werden,will
will,want
ihnen,them
geht,going
wo,Where
etwas,something
oh,Oh
mehr,more
bei,at
also,so
bitte,You're welcome
immer,always
hab,hab
warum,Why
vor,in front
los,Come on
können,can
wieder,again
sagen,say
machen,do
danke,thanks
sehr,very
alle,all